what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1396262540136
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1396262540185
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1396262540199
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1396262540199
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1396262540241
os,sysinfo,,,"win32",1396262540244
arch,sysinfo,,,"x86",1396262540244
ws,sysinfo,,,"win32",1396262540244
locale,sysinfo,,,"en_US",1396262540244
processors,sysinfo,,,"2",1396262540244
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1396262540244
java.runtime.version,sysinfo,,,"1.7.0-b147",1396262540244
java.specification.name,sysinfo,,,"Java Platform API Specification",1396262540244
java.specification.vendor,sysinfo,,,"Oracle Corporation",1396262540244
java.specification.version,sysinfo,,,"1.7",1396262540244
java.vendor,sysinfo,,,"Oracle Corporation",1396262540244
java.version,sysinfo,,,"1.7.0",1396262540244
java.vm.info,sysinfo,,,"mixed mode",1396262540244
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1396262540244
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1396262540244
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1396262540244
java.vm.specification.version,sysinfo,,,"1.7",1396262540244
java.vm.vendor,sysinfo,,,"Oracle Corporation",1396262540244
java.vm.version,sysinfo,,,"21.0-b17",1396262540244
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1396262541459
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1396262542695
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1396262542931
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1396262543013
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1396262543612
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396262544146
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396262546027
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1396262554166
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1396262571592
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1396262571600
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1396262571626
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1396262571653
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1396262571699
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1396262571707
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1396262571834
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1396262573701
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396262575054
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396262645966
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1396262645992
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1396262645992
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396262649435
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396262680774
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1396262680793
